Gene_ID,Gene_Symbol,Length_bp,Raw_Count
ENSG00000215386,MIR99AHG,58906,98
ENSG00000237945,LINC00649,14443,68
ENSG00000236830,CBR3-AS1,8909,67
ENSG00000157540,DYRK1A,26763,59
ENSG00000160305,DIP2A,13758,51
ENSG00000205726,ITSN1,21748,48
ENSG00000142166,IFNAR1,15676,47
ENSG00000157601,MX1,17984,45
ENSG00000205929,EPCIP,4121,39
